base_dir	"../"
local_dir	"/home/alexandra/Documents/Data/SOPHIE/"
dataset_name	"new_model_unseen_template"
raw_template_filename	"../data/input/template_data_example.tsv"
raw_compendium_filename	"https://storage.googleapis.com/recount2/mapped_recount2_compendium.tsv"
normalized_compendium_filename	"/home/alexandra/Documents/Data/SOPHIE/normalized_recount2_compendium.tsv"
project_id	"costello"
num_simulated	2
NN_architecture	"NN_test"
vae_model_dir	"../new_model_unseen_template/models/NN_test/"
learning_rate	0.001
batch_size	10
epochs	5
kappa	0.01
intermediate_dim	2500
latent_dim	30
epsilon_std	1.0
validation_frac	0.25
scaler_filename	"scaler_transform_recount2_example.pickle"
DE_method	"deseq"
count_threshold	None
template_process_samples_filename	"costello_process_samples.tsv"
template_DE_grouping_filename	"costello_groups.tsv"
rank_genes_by	"log2FoldChange"
mapped_template_filename	"/home/alexandra/Documents/Data/SOPHIE/new_model_unseen_template_mapped.tsv"
normalized_template_filename	"/home/alexandra/Documents/Data/SOPHIE/new_model_unseen_template_normalized.tsv"
processed_template_filename	"/home/alexandra/Documents/Data/SOPHIE/new_model_unseen_template_processed.tsv"
output_filename	"sample_output.tsv"
